city,customer_age,customer_name,customer_segment,discount,order_date,order_id,order_priority,order_quantity,product_base_margin,product_category,product_container,product_name,product_sub_category,profit,region,sales,ship_date,ship_mode,shipping_cost,state,unit_price,zip_code,
Reston,30,Jennifer Patt,Consumer,0.02,28-02-2022,903248f1-e5cd-4389-82aa-b938dbc0d8fd,Critical,43,0.4,Office Supplies,Small Box,Fellowes Binding Cases,Binders and Binder Accessories,-1702.83114,South,502.24,02-03-2022,Express Air,497.99578,Virginia,11.7,20190,
Camp Springs,42,Charlotte Melton,Small Business,0.12,30-04-2020,815eda84-f002-4337-a0c3-104aa55002ce,Not Specified,12,0.39,Office Supplies,Small Box,GBC Recycled Regency Composition Covers,Binders and Binder Accessories,3188.37823,East,715.92,04-05-2020,Delivery Truck,607.1848602,Maryland,59.78,20746,
Saugus,61,Jim Kriz,Corporate,0.21,29-11-2019,b9881bc0-6d38-41e8-935f-3a6eab4c26b6,Critical,21,0.59,Furniture,Jumbo Drum,Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf,Tables,15980.09526,East,2112.39,03-12-2019,Regular Air,81.85643225,MA,100.8,1906,
Anderson,26,Erica Hackney,Home Office,0.05,22-01-2022,afdf5bd9-d5f5-4b12-b18b-32063a6470f4,High,22,\N,Furniture,Medium Box,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Chairs & Chairmats,-1374.74941,South,584.98,31-01-2022,Express Air,527.0857682,South Carolina,26.64,29624,
Prairie Village,46,Natalie Webber,Home Office,0.24,12-06-2021,68791fea-29bc-4d2f-98bf-1d92078ea181,High,39,0.69,Technology,Small Pack,Imation 3.5 Unformatted DS/HD Diskettes  10/Box,Computer Peripherals,-757.96598,Central,278.07,21-06-2021,Regular Air,138.4240585,Kansas,7.37,66202,
Arlington Heights,59,Muhammed Lee,Consumer,0.24,14-10-2020,e28321aa-bbe7-4431-b472-d2a576ebade9,Not Specified,7,\N,Office Supplies,Small Box,SAFCO Mobile Desk Side File  Wire Frame,Storage & Organization,-4194.12795,Central,297.64,21-10-2020,Regular Air,83.56424637,Illinois,42.76,60004,
Huntsville,55,Edward Hooks,Small Business,0.11,25-12-2022,060cf661-d4ba-4d3a-9618-b90812aa8db5,Critical,5,0.48,Technology,Small Box,Motorola SB4200 Cable Modem,Computer Peripherals,17597.09255,Central,899.4,02-01-2023,Regular Air,385.4652144,Texas,179.99,77340,
West Seneca,67,John Huston,Home Office,0.18,30-05-2020,7717fcd6-f2ab-4414-abff-af999435766e,Low,35,0.59,Technology,Small Box,StarTAC 6500,Telephones and Communication,22763.2175,East,4403.35,08-06-2020,Regular Air,810.2082172,New York,125.99,14224,
Mandan,48,Joseph Airdo,Home Office,0.01,01-12-2019,9bac4ca5-fc86-4cc0-93fc-b5bf55e23989,High,27,0.57,Technology,Small Box,LX 677,Telephones and Communication,-7475.075,Central,2996.46,04-12-2019,Regular Air,1737.60497,North Dakota,110.99,58554,
Chesapeake,46,Heather Kirkland,Consumer,0.16,18-02-2020,c62c088b-f0c9-4c34-b40c-ca9c5fa748d4,Low,27,0.79,Furniture,Jumbo Box,Bretford  Just In Time Height-Adjustable Multi-Task Work Tables,Tables,9336.63961,South,11265.48,26-02-2020,Regular Air,9776.154991,Virginia,417.4,23320,
Brandon,89,Michelle Ellison,Home Office,0,04-05-2022,03094834-5f02-4693-83f6-1670ba482116,High,6,0.39,Office Supplies,Small Box,Avery Durable Poly Binders,Binders and Binder Accessories,7186.26743,South,33.18,10-05-2022,Regular Air,10.48174573,Florida,5.53,33511,
Teaneck,84,Tim Taslimi,Consumer,0.02,15-06-2020,d4bbff49-8757-48ed-ab6e-7af611727dc0,Critical,4,0.4,Office Supplies,Small Box,GBC DocuBind P100 Manual Binding Machine,Binders and Binder Accessories,21782.31554,East,663.84,24-06-2020,Regular Air,67.25544864,New Jersey,165.98,7666,
Charleston,64,Naresj Patel,Corporate,0.02,03-03-2021,1fd2cb72-e2d4-4b98-899e-7966fc8f7d03,Low,25,0.58,Office Supplies,Small Pack,Boston 19500 Mighty Mite Electric Pencil Sharpener,Pens & Art Supplies,12119.64441,East,503.25,06-03-2021,Express Air,125.6292228,West Virginia,20.15,25314,
Coconut Creek,61,Jeremy Ellison,Corporate,0.09,05-10-2019,c3ae3607-c755-4ab1-a793-d27c1f9c4703,Medium,32,0.73,Technology,Small Box,Microsoft Natural Multimedia Keyboard,Computer Peripherals,-7856.56549,South,1628.48,14-10-2019,Delivery Truck,1260.981952,Florida,50.98,33063,
Sterling Heights,23,Matt Collins,Small Business,0.11,24-11-2022,67064c8b-b2c9-42d1-8cb7-f92151a9d12d,Low,38,0.55,Office Supplies,Small Pack,Boston 16701 Slimline Battery Pencil Sharpener,Pens & Art Supplies,19637.85002,Central,601.54,29-11-2022,Express Air,37.02639475,Michigan,15.94,48310,
Swansea,56,Toby Knight,Small Business,0.05,03-09-2020,779c5ca2-3fb4-45cd-8ae3-c7ba4ab9613b,Low,50,0.59,Office Supplies,Wrap Bag,Newell 333,Pens & Art Supplies,-8340.21338,East,136.5,10-09-2020,Delivery Truck,123.3277506,MA,2.78,2777,
Wheeling,55,Lena Radford,Home Office,0.1,23-10-2021,6ee29131-9bf4-4fd4-8412-2c71b90a35ca,Not Specified,20,0.83,Technology,Small Pack,Accessory29,Telephones and Communication,-6793.36149,East,417.8,26-10-2021,Delivery Truck,249.1326567,West Virginia,20.99,26003,
Addison,80,Denise Monton,Consumer,0.09,29-04-2020,c414b851-003e-4b5c-8653-7a474cf89b97,Low,33,0.8,Office Supplies,Wrap Bag,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,3506.30733,Central,152.46,01-05-2020,Regular Air,122.4470707,Illinois,4.71,60101,
Durham,69,Ruben Ausman,Small Business,0.19,13-08-2021,1bf790c1-071f-405e-ba12-595c5bdade65,Medium,45,0.82,Office Supplies,Wrap Bag,Letter Slitter,Scissors, Rulers and Trimmers,-8990.43328,South,104.85,17-08-2021,Delivery Truck,3.738630996,North Carolina,2.52,27707
South Lake Tahoe,32,Frank Hawley,Home Office,0.08,29-12-2021,ee97d6a3-8240-47b6-b573-d6f21b693161,Critical,31,0.35,Office Supplies,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,Envelopes,-13247.66446,West,170.5,04-01-2022,Delivery Truck,162.0094091,California,5.58,96150,
San Antonio,81,Alan Shonely,Home Office,0.08,22-06-2019,e32af3cc-7acc-466a-ae79-7208d581cf1c,Critical,48,0.73,Furniture,Large Box,Tensor Hersey Kiss Styled Floor Lamp,Office Furnishings,-2028.30394,Central,619.68,30-06-2019,Delivery Truck,502.279425,Texas,12.99,78207,
Abington,61,Tamara Chand,Consumer,0.12,04-09-2022,18776413-8127-4968-ad0e-14966a489d74,High,35,0.56,Office Supplies,Small Box,BOSTON Ranger #55 Pencil Sharpener  Black,Pens & Art Supplies,21595.70889,East,905.45,07-09-2022,Delivery Truck,825.4131375,MA,25.99,2351,
Morristown,45,Anthony Garverick,Home Office,0.03,16-02-2022,a1fc0350-017b-414b-b0f0-e87e6b49035b,Low,22,0.81,Office Supplies,Small Box,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,Storage & Organization,26388.29905,South,1165.12,22-02-2022,Express Air,646.9610083,Tennessee,52.99,37814,
Royal Palm Beach,61,Liz Willingham,Home Office,0.13,08-02-2022,4f3bf505-5d89-4022-86ab-d012f667c54d,Not Specified,15,0.59,Furniture,Jumbo Drum,Hon Multipurpose Stacking Arm Chairs,Chairs & Chairmats,9835.39289,South,3247.05,17-02-2022,Express Air,2007.658592,Florida,216.6,33411,
South Orange,57,Bruce Money,Small Business,0.06,19-03-2022,a069d434-4bbd-45d5-8501-1162ced6a753,Not Specified,47,0.37,Office Supplies,Small Box,Xerox 1894,Paper,14135.85755,East,301.74,28-03-2022,Delivery Truck,95.29724194,New Jersey,6.48,7079,
Maryville,53,Rob Dowd,Corporate,0.15,03-01-2020,3741503a-a99d-49c1-9bf0-ff69e935bdfe,Low,15,0.64,Furniture,Jumbo Box,Bush Advantage Collection Round Conference Table,Tables,-1225.56712,South,3186.75,05-01-2020,Delivery Truck,400.5463295,Tennessee,212.6,37804,
Maryville,53,Rob Dowd,Corporate,0.15,03-01-2020,06784e1f-843b-4d98-9d26-b25eaa839944,Low,15,0.73,Furniture,Jumbo Box,Bush Advantage Collection Round Conference Table,Tables,-1225.56712,South,3186.75,09-01-2020,Delivery Truck,3162.281757,Tennessee,212.6,37804,
Oakland,84,Michael Moore,Corporate,0.25,08-08-2019,fd0ff521-1389-402e-b1cf-cfd8e77379d1,Critical,23,0.37,Office Supplies,Small Box,Xerox 1939,Paper,-2289.84743,West,430.56,13-08-2019,Express Air,139.4282502,California,18.97,94601,
Drexel Hill,76,Gary Zandusky,Home Office,0.06,19-11-2021,d8622311-4525-4957-b332-335e848e9956,Medium,19,0.37,Office Supplies,Small Box,Avery 497,Labels,11942.07771,East,57.38,26-11-2021,Delivery Truck,26.47081499,Pennsylvania,3.08,19026,
Fairhaven,57,Robert Dilbeck,Home Office,0.25,11-01-2021,f3d2908b-73f9-4d6e-8a80-866e159bd657,Low,11,0.39,Office Supplies,Small Box,GBC Durable Plastic Covers,Binders and Binder Accessories,3856.5013,East,210.1,21-01-2021,Delivery Truck,100.0446186,MA,19.35,2719,
East Point,81,Meg Tillman,Corporate,0.09,09-07-2022,1e0eba1f-fe3b-492f-a9e4-a6ded317d283,Not Specified,30,0.58,Office Supplies,Small Pack,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Pens & Art Supplies,-119.64919,South,1316.7,10-07-2022,Regular Air,269.6565591,Georgia,43.98,30344,
Portland,28,George Ashbrook,Corporate,0.2,17-11-2019,99d00a76-22be-44cc-a50a-f9c6c99cbab1,Critical,43,0.39,Office Supplies,Small Box,Avery 506,Labels,-5256.35949,West,168.99,25-11-2019,Express Air,27.03454241,Oregon,4.13,97206,
Stevens Point,86,Beth Fritzler,Corporate,0.08,07-11-2020,1ff3c650-4111-4b71-bb35-eafda72f780e,Not Specified,9,0.37,Office Supplies,Small Box,Xerox 1938,Paper,-8861.79159,Central,430.38,16-11-2020,Delivery Truck,372.7418175,Wisconsin,47.9,54481,
Hanover,79,Cathy Armstrong,Home Office,0.03,22-02-2021,afa100d8-e90b-43fd-a049-033d9451552b,Not Specified,11,0.39,Office Supplies,Small Box,Xerox 1991,Paper,-6572.0864,East,250.91,28-02-2021,Regular Air,123.6332511,Pennsylvania,22.84,17331,
Cedar Falls,59,Greg Maxwell,Home Office,0.11,02-11-2019,804a5720-4d7c-4c90-b4ac-3810a340980d,Critical,50,0.55,Technology,Small Box,T39m,Telephones and Communication,-11863.17169,Central,7794,04-11-2019,Delivery Truck,5581.343444,Iowa,155.99,50613,
Danvers,31,Cindy Chapman,Corporate,0.06,01-02-2021,29485441-72d4-4191-84e7-39888f534123,Medium,34,0.65,Furniture,Medium Box,Tenex 46 x 60 Computer Anti-Static Chairmat  Rectangular Shaped,Office Furnishings,-10098.78414,East,3601.28,11-02-2021,Regular Air,2957.483506,MA,105.98,1923,
New Brunswick,81,Laurel Elliston,Home Office,0.16,10-06-2020,0e1d7ba9-65d7-4f9e-a225-47042e151106,Medium,18,0.39,Office Supplies,Wrap Bag,Adams Write n  Stick Phone Message Book  11 X 5 1/4  200 Messages,Paper,6318.70537,East,99.36,14-06-2020,Regular Air,42.8313988,New Jersey,5.68,8901,
Gloucester,76,Anna Haberlin,Consumer,0.05,05-04-2020,31d07648-1dc0-47e9-859e-9161a22bde30,High,6,0.57,Office Supplies,Small Box,Hoover WindTunnel Plus Canister Vacuum,Appliances,-5743.59201,East,2179.2,13-04-2020,Express Air,1424.753613,MA,363.25,1930,
Hoffman Estates,27,Gary Zandusky,Corporate,0.18,08-10-2022,21a444e3-8278-4976-950b-785e05271923,Low,33,0.6,Furniture,Jumbo Drum,Situations Contoured Folding Chairs  4/Set,Chairs & Chairmats,19935.74081,Central,2336.4,16-10-2022,Delivery Truck,728.5890694,Illinois,70.98,60194,
Townsend,89,Craig Rider,Small Business,0.08,13-01-2019,03d2f270-ed0a-4a22-b23c-7ec698d80ad2,High,17,0.55,Technology,Small Pack,Fuji 5.2GB DVD-RAM,Computer Peripherals,-12142.00874,East,694.96,21-01-2019,Regular Air,553.0453819,MA,40.96,1469,
Houston,69,Dorothy Wardle,Home Office,0.05,11-03-2022,2a8f690e-279f-45ae-95eb-21a5d35ad31d,Not Specified,13,0.57,Office Supplies,Wrap Bag,Blackstonian Pencils,Pens & Art Supplies,1829.00156,Central,34.06,14-03-2022,Regular Air,30.76826315,Texas,2.67,77036,
Johnson City,37,Valerie Takahito,Small Business,0.23,31-07-2019,09018a16-ab45-4f00-87b0-60f92cebf68a,Medium,8,0.4,Office Supplies,Small Box,Xerox 199,Paper,1827.80791,South,32.4,02-08-2019,Regular Air,10.65536127,Tennessee,4.28,37604,
Foxborough,86,Ross Baird,Home Office,0.25,17-02-2019,07cfea4f-321f-4940-bcd9-aebe7014320b,Not Specified,1,0.59,Office Supplies,Small Box,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Appliances,20806.97263,East,33.37,25-02-2019,Regular Air,16.265003,MA,33.62,2035,
Spanaway,65,Mike Pelletier,Corporate,0.12,15-07-2022,29a50652-97f2-4c92-ad9f-cd7566c5fb58,Medium,6,0.61,Furniture,Jumbo Drum,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Chairs & Chairmats,26141.9953,West,604.62,21-07-2022,Delivery Truck,32.7141307,Washington,100.89,98387,
Pflugerville,73,Nora Paige,Home Office,0.16,27-07-2019,de33c146-e261-4bd7-a13c-4c98ed78e84a,Critical,19,0.59,Furniture,Large Box,Luxo Professional Combination Clamp-On Lamps,Office Furnishings,17653.31331,Central,1940.66,29-07-2019,Regular Air,1498.104496,Texas,102.3,78660,
Bossier City,80,Anthony Johnson,Corporate,0.13,28-09-2020,89dd4b20-0b8c-450e-affa-7423052072d9,Low,26,0.35,Office Supplies,Small Box,Vinyl Sectional Post Binders,Binders and Binder Accessories,19023.11929,South,976.82,01-10-2020,Express Air,281.6584574,Louisiana,37.7,71111,
Norwich,21,Chuck Sachs,Consumer,0.08,08-08-2021,7b658593-d153-48be-b8d4-ff45ada47574,Not Specified,20,0.74,Technology,Small Box,Adesso Programmable 142-Key Keyboard,Computer Peripherals,3164.85071,East,3048,11-08-2021,Delivery Truck,234.2512995,Connecticut,152.48,6360,
Norwich,21,Chuck Sachs,Consumer,0.08,08-08-2021,cce9c788-7ab4-4e62-9d5f-b6fe5b205e98,Not Specified,20,0.79,Technology,Small Box,Adesso Programmable 142-Key Keyboard,Computer Peripherals,3164.85071,East,3048,15-08-2021,Delivery Truck,1158.481907,Connecticut,152.48,6360,
Woodridge,64,Cassandra Brandow,Consumer,0.09,24-09-2022,a931cf7e-9672-4014-9f6d-7e767f58135f,Low,41,0.38,Office Supplies,Small Box,Ibico Presentation Index for Binding Systems,Binders and Binder Accessories,-7529.55664,Central,159.49,28-09-2022,Regular Air,109.6774406,Illinois,3.98,60517,
Schaumburg,89,John Lucas,Corporate,0.03,06-05-2019,2883f2af-f550-4635-8d68-97e9dc407081,High,46,0.37,Office Supplies,Small Box,HP Office Paper (20Lb. and 87 Bright),Paper,7765.94768,Central,305.9,12-05-2019,Regular Air,105.5640299,Illinois,6.68,60193,
Odessa,88,Sung Chung,Corporate,0.14,01-04-2022,628575bb-04fd-426f-9a2f-d69a679b3d96,Not Specified,22,0.44,Furniture,Wrap Bag,3M Hangers With Command Adhesive,Office Furnishings,21258.23896,Central,78.32,10-04-2022,Regular Air,58.35918178,Texas,3.7,79762,
Tacoma,77,Jeremy Lonsdale,Consumer,0.25,09-02-2020,64f93f09-c807-45ad-8305-de7ab90df0ba,Low,18,0.77,Furniture,Jumbo Drum,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,-8112.31915,West,4873.14,18-02-2020,Express Air,1685.65048,Washington,270.98,98408,
Berkeley,33,Pete Kriz,Small Business,0.23,10-07-2022,915edc1c-86ef-4e79-97dc-ab418f02f65c,Critical,23,0.38,Office Supplies,Small Box,GBC ProClick Spines for 32-Hole Punch,Binders and Binder Accessories,16619.72044,West,282.9,19-07-2022,Express Air,90.46187562,California,12.53,94704,
Douglasville,66,Mark Packer,Small Business,0.02,03-04-2022,9230f561-5424-4aaf-9f63-d6e0cb994499,Medium,31,0.56,Technology,Jumbo Drum,Okidata ML184 Turbo Dot Matrix Printers,Office Machines,3709.75748,South,9489.72,10-04-2022,Regular Air,2055.492717,Georgia,306.14,30135,
Marshfield,44,Brendan Sweed,Corporate,0.22,17-08-2020,b1014ff1-e6fd-422b-bd32-7f3957ba2163,Not Specified,39,0.59,Office Supplies,Small Pack,Sanford 52201 APSCO Electric Pencil Sharpener,Pens & Art Supplies,-2652.75522,East,1589.25,25-08-2020,Regular Air,238.2781854,MA,40.97,2050,
North Miami,44,Steve Carroll,Home Office,0.13,23-11-2019,5f309b43-e011-46a0-9ccb-752f6815b6f7,Low,14,0.64,Technology,Small Box,Micro Innovations 104 Keyboard,Computer Peripherals,-6958.83364,South,151.76,29-11-2019,Regular Air,144.3385043,Florida,10.97,33161,
Oakland,84,Muhammed Lee,Corporate,0.14,13-07-2021,dd0759b6-f04f-400a-8c66-e6bf2a503253,Low,19,0.52,Office Supplies,Large Box,Honeywell Enviracaire Portable HEPA Air Cleaner for 17  x 22  Room,Appliances,1195.72897,West,5709.69,16-07-2021,Express Air,5092.047807,California,300.65,94601,
Fair Lawn,20,Cindy Schnelling,Small Business,0.14,18-01-2022,6c80c655-65bc-495f-89f0-d6424f451e9e,High,2,0.37,Office Supplies,Small Box,Xerox 1959,Paper,11951.80184,East,13.08,28-01-2022,Regular Air,3.588477521,New Jersey,6.68,7410,
Parsippany,62,Tom Stivers,Small Business,0.03,06-09-2021,9d635384-7cde-4efe-9f6d-b03d5bfb6323,Medium,32,0.71,Office Supplies,Small Box,Fellowes Staxonsteel Drawer Files,Storage & Organization,-11785.51988,East,6180.48,07-09-2021,Regular Air,2337.721424,New Jersey,193.17,7054,
Texarkana,85,Vivek Gonzalez,Small Business,0.22,06-05-2022,22f3b364-866e-4a8e-adb7-8a617549855e,Low,15,0.83,Office Supplies,Large Box,Space Solutions Industrial Galvanized Steel Shelving.,Storage & Organization,25530.57776,Central,1178.7,10-05-2022,Express Air,1.363377324,Texas,78.8,75503,
Ames,89,Steve Nguyen,Corporate,0.23,15-03-2019,d5a5b485-e678-4b6b-a5fe-014c9eae7d4c,Low,12,0.69,Furniture,Medium Box,Rubbermaid ClusterMat Chairmats  Mat Size- 66 x 60  Lip 20 x 11 -90 Degree Angle,Office Furnishings,22275.85332,Central,1329,20-03-2019,Regular Air,955.4740069,Iowa,110.98,50010,
Ossining,68,John Grady,Home Office,0.12,15-11-2019,5c21559d-6958-4dc3-85c2-a8f0c65f2a1a,Critical,31,0.85,Technology,Small Box,Accessory27,Telephones and Communication,7878.94591,East,1111.97,18-11-2019,Express Air,238.0487989,New York,35.99,10562,
Port Arthur,53,Corey Catlett,Corporate,0.19,30-03-2022,403b0812-5f51-485b-ba16-1aee52d40b5f,Critical,7,0.59,Office Supplies,Small Box,Hunt Boston Vacuum Mount KS Pencil Sharpener,Pens & Art Supplies,-6956.61114,Central,243.6,05-04-2022,Regular Air,147.9635063,Texas,34.99,77642,
Sun Prairie,53,Paul MacIntyre,Home Office,0.11,24-12-2019,8e70df79-1383-4b28-978c-4b54d6e2d40b,Medium,28,0.38,Office Supplies,Small Box,Avery Printable Repositionable Plastic Tabs,Binders and Binder Accessories,-3998.01477,Central,237.72,28-12-2019,Delivery Truck,111.3959401,Wisconsin,8.6,53590,
Bartlesville,80,Chad Sievert,Home Office,0,27-05-2019,e581a913-7d7a-4ca9-88fe-cd33986c03aa,Low,7,0.59,Furniture,Jumbo Box,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,Bookcases,-1227.76512,Central,1826.86,31-05-2019,Regular Air,425.2215982,Oklahoma,260.98,74006,
Jacksonville,53,Brian Derr,Home Office,0.23,02-04-2022,35c6c9b4-aa6d-4010-af21-7762a510ea90,Not Specified,47,0.38,Office Supplies,Small Box,Xerox 1891,Paper,13189.88843,South,2287.96,11-04-2022,Express Air,1905.392605,North Carolina,48.91,28540,
Derry,50,John Castell,Small Business,0.1,19-12-2020,5b67dcc5-013d-466e-bc84-4248132afeed,Not Specified,37,0.36,Office Supplies,Small Box,Xerox 1922,Paper,2619.2507,East,180.56,26-12-2020,Regular Air,54.79057241,New Hampshire,4.98,3038,
Parkland,21,Andy Reiter,Small Business,0.2,17-07-2020,eaa90bc4-9f32-47f4-b50f-8c99ebb8ca8d,Low,31,0.58,Furniture,Jumbo Drum,Global Deluxe Office Fabric Chairs,Chairs & Chairmats,-756.60116,West,2969.18,22-07-2020,Regular Air,2195.460244,Washington,95.98,98444,
Clarksville,72,Dianna Arnett,Small Business,0.05,11-07-2020,65e3134a-8b75-4a84-a9b5-3cb1e659a644,Not Specified,14,0.39,Technology,Jumbo Box,Hewlett-Packard 2600DN Business Color Inkjet Printer,Office Machines,7729.59868,South,1679.16,13-07-2020,Regular Air,548.0604952,Tennessee,119.99,37042,
Coeur D Alene,88,Gary McGarr,Consumer,0.18,11-06-2021,e6f90251-fbee-47e0-b8e0-eb1b353c001b,Medium,43,0.4,Technology,Jumbo Drum,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Office Machines,17461.01914,West,4979.83,18-06-2021,Express Air,215.7257217,Idaho,115.99,83814,
Glendale,32,Sharelle Roach,Consumer,0.18,17-11-2022,6a84e594-0094-42ce-afda-8f3e87bf5f4c,Critical,26,0.38,Office Supplies,Small Box,Ibico Presentation Index for Binding Systems,Binders and Binder Accessories,-11208.7215,West,98.8,25-11-2022,Delivery Truck,41.6263807,Arizona,3.98,85301,
Southgate,21,Karen Bern,Corporate,0.11,04-06-2020,e27ddf42-3e49-47d7-a8db-2254c1c42d93,Low,16,0.55,Technology,Wrap Bag,Accessory34,Telephones and Communication,5465.97947,Central,1374.08,08-06-2020,Regular Air,618.1140924,Michigan,85.99,48195,
Port Orange,56,Greg Guthrie,Home Office,0.02,07-03-2019,eb8a03ba-bc0c-42cf-a5fc-62c385d34208,Medium,38,0.57,Technology,Medium Box,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,-13130.68309,South,6838.86,15-03-2019,Express Air,3876.666356,Florida,179.99,32127,
Rutherford,80,Victoria Wilson,Home Office,0.21,17-06-2019,d6b33613-2e73-4ef2-af18-b0ab757554a4,High,46,0.39,Office Supplies,Small Box,GBC Durable Plastic Covers,Binders and Binder Accessories,-775.08798,East,880.44,19-06-2019,Express Air,258.2392393,New Jersey,19.35,7070,
Belvidere,53,Christina Vanderzanden,Corporate,0.04,07-07-2019,6b37f292-9adf-4a62-904e-d92dd601f286,High,25,0.4,Office Supplies,Small Box,Xerox 1981,Paper,-2269.79522,Central,131,12-07-2019,Express Air,76.48503051,Illinois,5.28,61008,
Oregon City,70,Matt Hagelstein,Small Business,0.1,29-03-2022,bbd64690-da61-46fb-9586-ca76aa1585af,Medium,35,0.58,Technology,Small Box,6340,Telephones and Communication,-9137.49635,West,3006.15,04-04-2022,Express Air,292.2751221,Oregon,85.99,97045,
Hialeah,57,Keith Dawkins,Small Business,0.03,10-05-2019,18266c67-df11-4358-a791-718c66e71284,High,16,0.37,Office Supplies,Small Box,Binding Machine Supplies,Binders and Binder Accessories,-8644.75819,South,466.24,16-05-2019,Regular Air,180.5412372,Florida,29.17,33012,
Plantation,72,Maribeth Yedwab,Consumer,0.13,02-02-2019,cb82b7b9-de44-4384-ad18-3c3e5646667e,Low,25,0.37,Office Supplies,Small Box,Wilson Jones 1 Hanging DublLock Ring Binders,Binders and Binder Accessories,24478.07197,South,128.75,08-02-2019,Regular Air,75.17172872,Florida,5.28,33317,
Winthrop,35,Berenike Kampe,Consumer,0.04,22-09-2019,f5180bb3-357e-4423-ac8b-2c2b782a6050,Not Specified,17,0.61,Technology,Small Pack,Imation 3.5  RTS 247544 3M 3.5 DSDD  10/Pack,Computer Peripherals,12404.27352,East,143.14,27-09-2019,Express Air,86.59871401,MA,8.46,2152,
Mount Vernon,85,Theresa Coyne,Consumer,0.16,14-12-2020,da6706c9-4688-476e-ab17-b9b48d0a8e31,Low,13,0.6,Office Supplies,Wrap Bag,Newell 315,Pens & Art Supplies,-191.22536,West,75.66,17-12-2020,Delivery Truck,15.62337188,Washington,5.98,98273,
Puyallup,39,Christopher Martinez,Small Business,0.07,26-05-2022,02958210-12d5-468c-a842-9eb07d4502df,Not Specified,24,0.39,Office Supplies,Small Box,Avery 494,Labels,-534.34691,West,60.96,29-05-2022,Regular Air,29.93611897,Washington,2.61,98373,
Vineland,53,Lynn Smith,Corporate,0.08,27-02-2022,70137edf-b894-4c44-bc4c-21958b79c8a5,Medium,11,0.49,Furniture,Small Pack,DAX Cubicle Frames  8-1/2 x 11,Office Furnishings,19048.51173,East,93.39,02-03-2022,Regular Air,20.87253831,New Jersey,8.57,8360,
Weymouth,50,Deanra Eno,Small Business,0.14,07-02-2021,0b8b0532-4543-4340-a65a-8bfbc2c69e54,Medium,14,0.68,Technology,Small Box,Fellowes Smart Design 104-Key Enhanced Keyboard  PS/2 Adapter  Platinum,Computer Peripherals,-6725.0406,East,781.2,12-02-2021,Delivery Truck,397.1699926,MA,55.94,2190,
Weymouth,50,Deanra Eno,Small Business,0.14,07-02-2021,4a8a854b-43b0-40b2-a90e-4b3bf64be221,Medium,14,0.74,Technology,Small Box,Fellowes Smart Design 104-Key Enhanced Keyboard  PS/2 Adapter  Platinum,Computer Peripherals,-6725.0406,East,781.2,17-02-2021,Delivery Truck,708.5366696,MA,55.94,2190,
Oak Ridge,57,Philisse Overcash,Home Office,0.25,18-10-2019,83e05778-de5b-432f-a9bf-55d958f60799,Medium,20,0.4,Office Supplies,Small Box,Xerox 1981,Paper,11073.07163,South,100.6,21-10-2019,Regular Air,69.60441329,Tennessee,5.28,37830,
Jamestown,60,Mark Cousins,Home Office,0.05,03-05-2022,4e7037ee-1a64-42dd-bce9-d38a5768fa8e,Low,48,0.44,Furniture,Small Pack,Executive Impressions 14 Two-Color Numerals Wall Clock,Office Furnishings,24974.25292,East,308.64,10-05-2022,Express Air,7.014187995,New York,6.48,14701,
Jamestown,60,Mark Cousins,Home Office,0.05,03-05-2022,15df6f97-e820-40db-953a-e518d813e4e2,Low,48,0.44,Furniture,Small Pack,Executive Impressions 14 Two-Color Numerals Wall Clock,Office Furnishings,24974.25292,East,1088.16,12-05-2022,Express Air,945.4014493,New York,22.72,14701,
Shreveport,81,Scot Wooten,Corporate,0.22,14-06-2020,27083e56-e02b-4979-a96d-049b0560ffcf,High,31,0.39,Technology,Large Box,Polycom ViewStation ISDN Videoconferencing Unit,Office Machines,8263.25983,South,210266.8,23-06-2020,Express Air,6528.976989,Louisiana,6783.02,71109,
Corpus Christi,46,Emily Burns,Corporate,0.16,15-03-2021,05a55f70-b3bf-436c-98a0-f5be90c6e121,Medium,36,0.37,Office Supplies,Small Box,Xerox 212,Paper,15611.77517,Central,227.52,17-03-2021,Delivery Truck,61.06575752,Texas,6.48,78415,
Eagle,37,Katrina Edelman,Consumer,0.07,26-11-2020,10e8e5ea-7b9b-482b-914e-e2ba7a88b584,Low,8,0.48,Office Supplies,Wrap Bag,Avery Hi-Liter Fluorescent Desk Style Markers,Pens & Art Supplies,3796.90185,West,26.48,30-11-2020,Express Air,22.95666622,Idaho,3.38,83616,
